Teste,Fatia,Com_ruido,RG,Linear,Spline,Ifanbeam,Iradon
"01","TC 08",157.2413,46.5868,39.2696,39.2696,52.9548,66.8803
"02","TC 09",158.6429,40.6351,38.4163,38.4163,47.2471,62.2231
"03","TC 13",153.2648,41.5427,34.2366,34.2366,48.1387,1.9378
"04","TC 14",152.2060,35.7132,33.4758,33.4758,41.9997,56.8036
"05","TC 19",149.7463,44.5880,36.8679,36.8679,50.1894,63.7996
"06","TC 20",141.4391,39.9994,37.2745,37.2745,45.3521,59.5896
"07","TC 41",144.3851,15.7157,11.3482,11.3482,20.1984,33.0884
"08","TC 42",146.6986,15.0749,11.1963,11.1963,19.4144,32.7729
"09","TC 46",144.7105,13.3852,9.6450,9.6450,17.9763,30.3432
"10","TC 47",144.8677,12.9476,9.6072,9.6072,17.5170,30.1338
