Teste,Fatia,Com_ruido,RG,Linear,Spline,Ifanbeam,Iradon
"01","TC 08",47.8107,55.2131,56.5195,56.5195,55.1683,53.7850
"02","TC 09",47.7973,56.2206,56.6332,56.6332,56.2922,54.5271
"03","TC 13",48.4238,55.2490,56.6388,56.6388,55.1734,53.8209
"04","TC 14",48.4408,56.6412,56.8797,56.8797,56.7103,54.8484
"05","TC 19",48.7813,54.7412,55.9313,55.9313,54.6628,53.4361
"06","TC 20",49.1111,55.6327,55.8598,55.8598,55.6406,54.1269
"07","TC 41",49.0044,63.9951,66.7108,66.7108,62.6843,57.9941
"08","TC 42",48.8946,64.6974,67.2791,67.2791,63.3827,58.1830
"09","TC 46",48.6517,65.9944,69.5850,69.5850,63.8862,58.4026
"10","TC 47",48.6506,66.6178,69.7381,69.7381,64.3404,58.5091
