Teste,Fatia,Com_ruido,RG,Linear,Spline,Ifanbeam,Iradon
"01","TC 21",0.8188,0.9860,0.9865,0.9865,0.9856,0.9785
"02","TC 22",0.8219,0.9944,0.9762,0.9762,0.9935,0.9867
"03","TC 23",0.8219,0.9859,0.9869,0.9869,0.9856,0.9784
"04","TC 25",0.8629,0.9850,0.9861,0.9861,0.9847,0.9777
"05","TC 26",0.8577,0.9939,0.9749,0.9749,0.9931,0.9862
"06","TC 27",0.8601,0.9854,0.9866,0.9866,0.9851,0.9779
"07","TC 31",0.8654,0.9898,0.9912,0.9912,0.9895,0.9819
"08","TC 32",0.8648,0.9965,0.9863,0.9863,0.9955,0.9882
"09","TC 33",0.8633,0.9915,0.9931,0.9931,0.9912,0.9834
"10","TC 44",0.8692,0.9822,0.9839,0.9839,0.9823,0.9755
"11","TC 45",0.8716,0.9921,0.9678,0.9678,0.9915,0.9853
"12","TC 46",0.8789,0.9790,0.9800,0.9800,0.9792,0.9727
