Teste,Fatia,Com_ruido,RG,Linear,Spline,Ifanbeam,Iradon
"01","TC 07",195.5066,30.8619,25.7334,25.7330,36.3667,49.9291
"02","TC 08",197.6189,37.6155,38.0706,38.0710,42.4444,55.7454
"03","TC 09",193.2642,17.8624,43.7677,43.7677,22.9516,36.8735
"04","TC 10",188.9112,25.7101,41.1696,41.1696,30.7992,44.7358
"05","TC 11",183.9643,28.3206,27.3405,27.3403,33.4200,46.9467
"06","TC 17",157.9372,32.1951,27.2121,27.2121,37.6447,51.1777
"07","TC 18",157.3864,28.6590,44.3299,44.3299,33.9922,47.9179
"08","TC 19",163.1223,20.6999,51.0856,51.0856,26.0664,39.7085
"09","TC 20",167.5423,29.4320,46.8070,46.8070,35.0803,49.2529
"10","TC 21",163.5953,32.6439,32.2210,32.2198,38.4155,52.9707
"11","TC 45",160.4056,59.5710,51.2534,51.2528,66.0507,79.4843
"12","TC 46",159.2466,52.4975,84.3897,84.3897,58.9844,72.9479
"13","TC 47",159.4739,35.2213,98.9810,98.9810,41.7725,55.5505
"14","TC 48",159.6793,57.3928,94.9171,94.9171,63.9022,77.8843
"15","TC 49",157.5048,62.4109,62.9437,62.9432,68.4583,82.9256
