Teste,Fatia,Com ruido,RG,Linear,Spline,Ifanbeam,Iradon 
1,TC 10,56.6159,67.4979,73.9809,73.9809,65.0645,58.6876
2,TC 12,56.6242,67.5402,73.7773,73.7773,65.1534,58.7063
3,TC 18,56.6558,67.2279,72.0692,72.0692,64.8900,58.6525
4,TC 31,56.6162,65.8205,68.4488,68.4488,63.9321,58.4184
5,TC 40,56.6163,64.2784,65.6756,65.6756,62.7978,58.0596
6,TC 46,56.8721,62.9285,63.6609,63.6609,61.8322,57.7145
