Teste,Fatia,Com_ruido,RG,Linear,Ifanbeam,Iradon
1,TC 11,48.7762,67.4226,73.8857,65.0558,58.6846
2,TC 13,46.3156,67.5521,73.6720,65.0936,58.6986
3,TC 19,48.8353,67.1499,72.0360,64.9282,58.6685
4,TC 32,48.3207,65.6803,68.0837,63.8542,58.3894
5,TC 41,47.5730,64.0875,65.2919,62.5855,58.0026
6,TC 47,45.1991,62.5356,63.2146,61.5189,57.5860
