Teste,Fatia,Com_ruido,RG,Linear,Ifanbeam,Iradon
1,TC 11,156.8712,12.5443,7.6296,16.5199,29.5317
2,TC 13,215.3584,12.4361,7.6608,16.3915,29.3297
3,TC 19,159.0187,13.1475,8.5439,16.9094,29.7825
4,TC 32,167.1433,14.5227,10.6799,18.7458,31.4830
5,TC 41,188.8997,15.9150,12.9423,20.5446,33.1589
6,TC 47,239.9210,17.6448,15.2444,22.6101,35.2230
