Test,Slice,With noise,RG,Linear,Spline,Ifanbeam,Iradon
36,CT 36,146.5014,23.6391,19.7611,19.7617,27.9855,41.6615
37,CT 37,147.9950,21.1940,28.3129,28.3129,25.3900,38.9841
38,CT 38,150.8416,20.3110,32.7285,32.7291,24.8009,37.9320
39,CT 39,151.2253,17.3559,34.3007,34.3007,21.6732,35.0725
40,CT 40,150.7200,13.3081,34.0563,34.0563,17.9745,30.9319
41,CT 41,151.4574,17.4063,32.3635,32.3635,21.7614,35.0769
42,CT 42,151.7467,18.5829,28.5070,28.5067,23.0594,36.5191
43,CT 43,150.0260,20.2364,22.9949,22.9949,24.6013,38.2129
44,CT 44,152.1613,19.2212,14.7576,14.7577,23.7091,37.3993
